Brand Name,Device Type,Model Name,Color,Selling Price,Original Price,Display,Rating (Out of 5),Strap Material,Average Battery Life (in days),Reviews
SAMSUNG ,Smartwatch,Galaxy Active 42mm,Black,19990,19990,AMOLED Display,4.4,Elastomer,14,
SAMSUNG ,Smartwatch,Galaxy 44mm,Beige,24490,28490,AMOLED Display,3.6,Silicone,14,
SAMSUNG ,Smartwatch,Galaxy LTE,Silver,31999,31999,AMOLED Display,4.6,Elastomer,14,
SAMSUNG ,Smartwatch,Gear Fit 2,Blue,15000,15000,AMOLED Display,4.2,Silicone,7,
SAMSUNG ,Smartwatch,Gear Fit,Black,7999,16860,AMOLED Display,3.9,Silicone,7,
SAMSUNG ,Smartwatch,Galaxy Active 2 Steel,Black,24490,31990,AMOLED Display,4.4,Leather,14,
SAMSUNG ,Smartwatch,Gear S2,"Silver, Blue",24300,24300,AMOLED Display,4.3,Elastomer,14,
SAMSUNG ,Smartwatch,Galaxy Active Steel,Blue,29990,34490,AMOLED Display,4.1,Silicone,14,
SAMSUNG ,Smartwatch,Gear Fit 2 Pro,"Red, Black",9990,14990,AMOLED Display,4.3,Silicone,7,
SAMSUNG ,Smartwatch,Gear Fit 2,"Pink, Blue",15000,15000,AMOLED Display,4.2,Silicone,7,
SAMSUNG ,Smartwatch,Gear 2,Black,19999,22550,AMOLED Display,2.3,Silicone,14,
SAMSUNG ,Smartwatch,Neo Gear 2,Black,15500,16860,AMOLED Display,3.9,Rubber,7,
SAMSUNG ,Smartwatch,Galaxy Active 46mm,Black,19990,19990,AMOLED Display,4.4,Elastomer,14,
SAMSUNG ,Smartwatch,Galaxy Watch LTE,Beige,27490,29989,AMOLED Display,4.2,Silicone,14,
SAMSUNG ,Smartwatch,Galaxy 42,Grey,21989,25990,AMOLED Display,4.6,Elastomer,14,
SAMSUNG ,Smartwatch,Gear Live,Black,15900,15900,AMOLED Display,4.2,Rubber,7,
SAMSUNG ,Smartwatch,Gear Fit 2,"Blue, Black",15000,15000,AMOLED Display,4.2,Silicone,7,
SAMSUNG ,Smartwatch,Galaxy Watch 3,Black,39490,39490,AMOLED Display,4.3,Leather,14,
SAMSUNG ,Smartwatch,Galaxy 42,Black,24989,25990,AMOLED Display,4.6,Elastomer,14,
SAMSUNG ,Smartwatch,Gear S3 Frontier,Black,22990,28500,AMOLED Display,4.3,Silicone,14,
SAMSUNG ,Smartwatch,Gear Sport,Black,15999,22990,AMOLED Display,3,Silicone,7,
SAMSUNG ,Smartwatch,Gear S2 Classic,Black,18999,34550,AMOLED Display,4.2,Leather,14,
SAMSUNG ,Smartwatch,T-Mobile,Black,21990,22990,AMOLED Display,4.3,Leather,14,
SAMSUNG ,Smartwatch,Gear S2,Silver,24300,24300,AMOLED Display,4.1,Elastomer,14,
SAMSUNG ,Smartwatch,R600NZBAXAR 600,Blue,21390,25155,AMOLED Display,4.5,Rubber,14,
SAMSUNG ,Smartwatch,Gear S2 Classic,Black,18999,30000,AMOLED Display,4.2,Leather,14,
SAMSUNG ,Smartwatch,Gear R730V S2,Grey,18532,22498,AMOLED Display,4.6,Elastomer,14,
SAMSUNG ,Smartwatch,Galaxy Gear,Gold,50408,60241,AMOLED Display,3.2,Rubber,14,
SAMSUNG ,FitnessBand,Activity Tracker,Black,13201,15885,PMOLED Display,4.2,Rubber,7,
FOSSIL ,Smartwatch,Gen 5 Carlyle HR,Black,15995,22995,AMOLED Display,4.2,Leather,2,
FOSSIL ,Smartwatch,Gen 5 Carlyle HR,"Brown, Grey",14995,22995,AMOLED Display,4.2,Leather,2,
FOSSIL ,Smartwatch,Gen 5 Garrett HR,Silver,15995,22995,AMOLED Display,4.1,Stainless Steel,2,
FOSSIL ,Smartwatch,Gen 5 Julianna HR,Gold,18495,18495,AMOLED Display,3.8,Stainless Steel,2,
FOSSIL ,Smartwatch,Gen 5 Julianna HR,Black,18995,22995,AMOLED Display,4.3,Stainless Steel,2,
FOSSIL ,Smartwatch,Latitude Hybrid HR,Black,12396,14995,AMOLED Display,4.3,Stainless Steel,14,
FOSSIL ,Smartwatch,Gen 5 Garrett HR,Black,14995,22995,AMOLED Display,4.1,Stainless Steel,2,
FOSSIL ,Smartwatch,FB-01 Hybrid HR,Black,12396,14995,AMOLED Display,4,Silicone,14,
FOSSIL ,Smartwatch,Gen 5 Julianna HR,Silver,18495,18495,AMOLED Display,3.8,Stainless Steel,2,
FOSSIL ,Smartwatch,Collider Hybrid,Black,16495,16495,AMOLED Display,4,Silicone,14,
FOSSIL ,Smartwatch,Collider Hybrid,"Brown, Grey",14995,14995,AMOLED Display,4,Silicone,14,
FOSSIL ,Smartwatch,Sadie Hybrid,Silver,8995,13495,AMOLED Display,4,Stainless Steel,10,
FOSSIL ,Smartwatch,FB-01 Hybrid HR,"Silver, Black",14021,16495,AMOLED Display,4,Stainless Steel,14,
FOSSIL ,Smartwatch,Commuter,Black,11995,11995,AMOLED Display,4.3,Leather,14,
FOSSIL ,Smartwatch,Latitude Hybrid HR,Grey,13196,16495,AMOLED Display,4.3,Stainless Steel,14,
FOSSIL ,Smartwatch,Sport,Multicolor,17995,17995,AMOLED Display,3.9,Silicone,2,
FOSSIL ,Smartwatch,Charter Hybrid HR,Gold,13196,16495,AMOLED Display,3.9,Leather,12,4
FOSSIL ,Smartwatch,Carlie Hybrid,Gold,13495,13495,AMOLED Display,4.6,Stainless Steel,12,
FOSSIL ,Smartwatch,Carlie,Beige,11995,11995,AMOLED Display,4.8,Leather,10,
FOSSIL ,Smartwatch,Neutra Hybrid,Silver,13495,13495,AMOLED Display,5,Stainless Steel,12,
FOSSIL ,Smartwatch,Q Venture,Blue,19999,21995,AMOLED Display,3.8,Leather,1,54
FOSSIL ,Smartwatch,Jacqueline,Gold,13495,13495,AMOLED Display,4.6,Leather,1,
FOSSIL ,Smartwatch,Q Neely,Black,6995,12995,AMOLED Display,4.6,Leather,2,
FOSSIL ,Smartwatch,FTW5018 Hybrid,Gold,11596,14495,AMOLED Display,4.5,Stainless Steel,2,
FOSSIL ,Smartwatch,FTW5012 Hybrid,Brown,9097,12995,AMOLED Display,4.6,Leather,2,
FOSSIL ,Smartwatch,Jacqueline Hybrid,Rose Gold,10796,13495,AMOLED Display,4,Leather,12,
